episode,analog,structure,und,seagull,burry,entry,offset_m,rule,cost_pct,multiple,payoff,pnl_pct,peak_mult,months_to_peak,max_dd,timing_miss,truncated,exit22_before_trough,exit22_fired,iv_entry
baseline,NonEvent,SPX Mar-27 10% OTM,spx,False,False,1990-01-31,,hold,2.4047297685034295,0.0,0.0,-2.4047297685034295,0.8691588785046729,0.0,0.0,False,False,False,False,22.927629313960942
baseline,NonEvent,SPX Mar-27 10% OTM,spx,False,False,1990-01-31,,v4_-22,2.4047297685034295,0.0,0.0,-2.4047297685034295,0.8691588785046729,0.0,0.0,False,False,False,False,22.927629313960942
baseline,NonEvent,SPX Mar-27 10% OTM,spx,False,False,1990-01-31,,peak_-22,2.4047297685034295,0.0,0.0,-2.4047297685034295,0.8691588785046729,0.0,0.0,False,False,False,False,22.927629313960942
baseline,NonEvent,SPX Mar-27 10% OTM,spx,False,False,1990-01-31,,tiered,2.4047297685034295,0.0,0.0,-2.4047297685034295,0.8691588785046729,0.0,0.0,False,False,False,False,22.927629313960942
baseline,NonEvent,SPX Mar-27 10% OTM,spx,False,False,1990-01-31,,IPS,2.4047297685034295,0.03797545584809702,0.29986566169586504,-2.313409059353023,0.8691588785046729,0.0,0.0,False,False,False,False,22.927629313960942
baseline,NonEvent,SPX Mar-27 10% OTM,spx,False,False,1990-02-28,,hold,2.0102473841218895,0.0,0.0,-2.0102473841218895,1.2419704143538415,5.781865965834428,0.0,False,False,False,False,20.841507473361194
baseline,NonEvent,SPX Mar-27 10% OTM,spx,False,False,1990-02-28,,v4_-22,2.0102473841218895,0.0,0.0,-2.0102473841218895,1.2419704143538415,5.781865965834428,0.0,False,False,False,False,20.841507473361194
baseline,NonEvent,SPX Mar-27 10% OTM,spx,False,False,1990-02-28,,peak_-22,2.0102473841218895,0.0,0.0,-2.0102473841218895,1.2419704143538415,5.781865965834428,0.0,False,False,False,False,20.841507473361194
baseline,NonEvent,SPX Mar-27 10% OTM,spx,False,False,1990-02-28,,tiered,2.0102473841218895,0.0,0.0,-2.0102473841218895,1.2419704143538415,5.781865965834428,0.0,False,False,False,False,20.841507473361194
baseline,NonEvent,SPX Mar-27 10% OTM,spx,False,False,1990-02-28,,IPS,2.0102473841218895,0.74105890631958,4.941413004414906,-0.5205356562127251,1.2419704143538415,5.781865965834428,0.0,False,False,False,False,20.841507473361194
baseline,NonEvent,SPX Mar-27 10% OTM,spx,False,False,1990-03-30,,hold,1.777597809025932,0.0,0.0,-1.777597809025932,2.0696394662011066,4.7963206307490145,0.0,False,False,False,False,19.53945629606242
baseline,NonEvent,SPX Mar-27 10% OTM,spx,False,False,1990-03-30,,v4_-22,1.777597809025932,0.0,0.0,-1.777597809025932,2.0696394662011066,4.7963206307490145,0.0,False,False,False,False,19.53945629606242
baseline,NonEvent,SPX Mar-27 10% OTM,spx,False,False,1990-03-30,,peak_-22,1.777597809025932,0.0,0.0,-1.777597809025932,2.0696394662011066,4.7963206307490145,0.0,False,False,False,False,19.53945629606242
baseline,NonEvent,SPX Mar-27 10% OTM,spx,False,False,1990-03-30,,tiered,1.777597809025932,0.9391173188818361,5.635059241708714,-0.10822492056327244,2.0696394662011066,4.7963206307490145,0.0,False,False,False,False,19.53945629606242
baseline,NonEvent,SPX Mar-27 10% OTM,spx,False,False,1990-03-30,,IPS,1.777597809025932,1.0417939057469567,6.251157612048965,0.07429275528642657,2.0696394662011066,4.7963206307490145,0.0,False,False,False,False,19.53945629606242
