episode,analog,structure,und,seagull,burry,entry,offset_m,rule,cost_pct,multiple,payoff,pnl_pct,peak_mult,months_to_peak,max_dd,timing_miss,truncated,exit22_before_trough,exit22_fired,iv_entry
1987,SecondWave,SPX Mar-27 10% OTM,spx,False,False,1985-08-30,24,hold,0.3344387973813114,0.0,0.0,-0.3344387973813114,2.005322731745009,1.0840998685939554,-5.42519030341707e-15,True,False,False,False,16.20198777134829
1987,SecondWave,SPX Mar-27 10% OTM,spx,False,False,1985-08-30,24,v4_-22,0.3344387973813114,0.0,0.0,-0.3344387973813114,2.005322731745009,1.0840998685939554,-5.42519030341707e-15,True,False,False,False,16.20198777134829
1987,SecondWave,SPX Mar-27 10% OTM,spx,False,False,1985-08-30,24,peak_-22,0.3344387973813114,0.0,0.0,-0.3344387973813114,2.005322731745009,1.0840998685939554,-5.42519030341707e-15,True,False,False,False,16.20198777134829
1987,SecondWave,SPX Mar-27 10% OTM,spx,False,False,1985-08-30,24,tiered,0.3344387973813114,0.0,0.0,-0.3344387973813114,2.005322731745009,1.0840998685939554,-5.42519030341707e-15,True,False,False,False,16.20198777134829
1987,SecondWave,SPX Mar-27 10% OTM,spx,False,False,1985-08-30,24,IPS,0.3344387973813114,1.132842689200936,0.7101595097890271,0.04442774921726038,2.005322731745009,1.0840998685939554,-5.42519030341707e-15,True,False,False,False,16.20198777134829
1987,SecondWave,SPX Mar-27 10% OTM,spx,False,False,1985-09-30,23,hold,0.3399323629696232,0.0,0.0,-0.3399323629696232,1.4549748624927126,0.0657030223390276,0.0,True,False,False,False,16.11985634850643
1987,SecondWave,SPX Mar-27 10% OTM,spx,False,False,1985-09-30,23,v4_-22,0.3399323629696232,0.0,0.0,-0.3399323629696232,1.4549748624927126,0.0657030223390276,0.0,True,False,False,False,16.11985634850643
1987,SecondWave,SPX Mar-27 10% OTM,spx,False,False,1985-09-30,23,peak_-22,0.3399323629696232,0.0,0.0,-0.3399323629696232,1.4549748624927126,0.0657030223390276,0.0,True,False,False,False,16.11985634850643
1987,SecondWave,SPX Mar-27 10% OTM,spx,False,False,1985-09-30,23,tiered,0.3399323629696232,0.0,0.0,-0.3399323629696232,1.4549748624927126,0.0657030223390276,0.0,True,False,False,False,16.11985634850643
1987,SecondWave,SPX Mar-27 10% OTM,spx,False,False,1985-09-30,23,IPS,0.3399323629696232,3.193016308830659e-05,1.9692585989281483e-05,-0.3399215088738346,1.4549748624927126,0.0657030223390276,0.0,True,False,False,False,16.11985634850643
1987,SecondWave,SPX Mar-27 10% OTM,spx,False,False,1985-10-31,22,hold,0.3486224648508146,0.0,0.0,-0.3486224648508146,0.9148769661811871,2.266754270696452,0.0,True,False,False,False,16.042068513943196
1987,SecondWave,SPX Mar-27 10% OTM,spx,False,False,1985-10-31,22,v4_-22,0.3486224648508146,0.0,0.0,-0.3486224648508146,0.9148769661811871,2.266754270696452,0.0,True,False,False,False,16.042068513943196
1987,SecondWave,SPX Mar-27 10% OTM,spx,False,False,1985-10-31,22,peak_-22,0.3486224648508146,0.0,0.0,-0.3486224648508146,0.9148769661811871,2.266754270696452,0.0,True,False,False,False,16.042068513943196
1987,SecondWave,SPX Mar-27 10% OTM,spx,False,False,1985-10-31,22,tiered,0.3486224648508146,0.0,0.0,-0.3486224648508146,0.9148769661811871,2.266754270696452,0.0,True,False,False,False,16.042068513943196
1987,SecondWave,SPX Mar-27 10% OTM,spx,False,False,1985-10-31,22,IPS,0.3486224648508146,0.007810992385243343,0.005144740898856489,-0.3458993774325401,0.9148769661811871,2.266754270696452,0.0,True,False,False,False,16.042068513943196
1987,SecondWave,SPX Mar-27 10% OTM,spx,False,False,1985-11-29,21,hold,0.3613524334084546,0.0,0.0,-0.3613524334084546,2.0277145958968985,1.314060446780552,0.0,True,False,False,False,16.0
